id,area,source,clause,condition,requirement,status,implementation,evidence,proves,gap,detail
STO-016,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Шрифт Times New Roman,partial,src/shared/config/sto-rules.json:17-20,src/shared/lib/sto-validator.ts:710-718,Default font проверен.,Нет local font override проверки.,local-only: sto-matrix.md
STO-017,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Кегль от 12 до 14 pt,partial,src/shared/config/sto-rules.json:17-20,src/shared/lib/sto-validator.ts:715-718,14 pt входит в диапазон.,Валидатор требует ровно 14; local runs не проверены.,local-only: sto-matrix.md
STO-018,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Полужирный шрифт не применять,manual,src/shared/config/sto-heading-styles.ts:36; src/widgets/title-page/lib/title-page.ts:435-449,tests/parser/run_parser_tests.ts:259-265,Код использует bold для заголовков/титула; методическое указание разрешает bold headings.,Решение о приоритете буквального СТО и методички; не безусловный defect.,local-only: sto-matrix.md
STO-019,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,"Межстрочный интервал 1,5",partial,src/shared/config/sto-rules.json:22; src/shared/config/sto-styles.ts:109-136,src/shared/lib/sto-validator.ts:705-708,"Normal w:line=360, lineRule=auto = 1.5 строки (1/240 строки).",Подписи/таблицы имеют w:line=240; direct pPr не проверяются.,local-only: sto-matrix.md
STO-020,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Выравнивание основного текста по ширине,partial,src/shared/config/sto-styles.ts:109-136,src/shared/lib/sto-validator.ts:720-723,Normal justified.,Нет direct pPr проверки.,local-only: sto-matrix.md
STO-021,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,"Абзацный отступ 1,25 см",partial,src/shared/config/sto-rules.json:24; src/shared/config/sto-styles.ts:127-136,src/shared/lib/sto-validator.ts:720-723,firstLine 709 twips ≈1.25 cm.,Нет effective pPr проверки.,local-only: sto-matrix.md
STO-022,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,"Поля: left 30 mm, right 15 mm, top/bottom 20 mm",implemented,src/shared/config/sto-rules.json:33-39; src/app/builder.ts:128-135,src/shared/lib/sto-validator.ts:725-728,Все section margins exact 1701/850/1134 twips.,Нет PDF physical-layout proof.,local-only: sto-matrix.md
STO-023,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Direct paragraph properties должны сохранять типографику,missing,src/shared/lib/sto-validator.ts:669-729,[local-only evidence]; [local-only evidence],Baseline и malformed direct pPr body paragraph проходят 40/40.,Нужен effective-style/direct-pPr обход каждого абзаца.,local-only: sto-matrix.md
STO-024,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.3,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Ручные исправления допускаются при отсутствии помарок,not applicable,—,—,Чисто физическое требование.,Визуальный осмотр бумаги.,local-only: sto-matrix.md
STO-025,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),3.4,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Каждый структурный элемент и раздел начинают с новой страницы,partial,src/shared/config/sto-styles.ts:140-186; src/shared/config/sto-heading-styles.ts:53,src/shared/lib/sto-template-style-validator.ts:226-265,Structural/H1 styles pageBreakBefore.,H2+ и фактическая pagination не доказаны.,local-only: sto-matrix.md
STO-026,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Титульный лист в структуре,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-027,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Задание включается при наличии,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-028,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Реферат в структуре,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-029,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Содержание в структуре,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-030,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Введение в структуре,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-031,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Заключение в структуре,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-032,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Определения в структуре при необходимости,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-033,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Обозначения и сокращения в структуре при необходимости,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-034,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Список источников в структуре,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-035,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Приложения в структуре при наличии,partial,"src/shared/lib/report-config.ts:103-124; src/shared/lib/source-preflight/structure-checker.ts:45-60,226-271",tests/generator/front_matter_docx_test.ts:231-239; tests/source-preflight/run_source_preflight_tests.ts,Profile/order covers principal front matter and structure.,Definitions/acronyms and complete arbitrary-document order lack model/strict check.,local-only: sto-matrix.md
STO-036,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Structural heading: no number,partial,src/features/markdown-parser/lib/parser/handlers/sto-handler.ts:52-91,tests/generator/toc_regression.ts:45-80,Macro emits unnumbered heading.,Manual Markdown heading can be used instead.,local-only: sto-matrix.md
STO-037,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Structural heading: centered,implemented,src/shared/config/sto-styles.ts:140-186,src/shared/lib/sto-template-style-validator.ts:226-265,Style center alignment.,No effective direct pPr proof.,local-only: sto-matrix.md
STO-038,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Structural heading: uppercase,partial,src/shared/config/sto-styles.ts:140-186,src/shared/lib/sto-validator.ts:631-665,Style caps property.,Text source may not be uppercase; no rendered check.,local-only: sto-matrix.md
STO-039,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Structural heading: no final dot,implemented,src/shared/lib/source-preflight/structure-checker.ts,tests/source-preflight/structure_reference_tests.ts,Source preflight rejects a structural heading with a final period.,Native Word output of this negative case is not needed for source rejection.,local-only: sto-matrix.md
STO-040,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Structural heading: no underline,missing,—,—,—,Need run underline rule.,local-only: sto-matrix.md
STO-041,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.3,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Main text may use sections/subsections/points/subpoints,partial,src/features/markdown-parser/lib/parser.ts; src/shared/config/sto-heading-styles.ts:7-55,tests/parser/run_parser_tests.ts:294-318,H1–H6 supported.,No appropriateness/required hierarchy proof.,local-only: sto-matrix.md
STO-042,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.4,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Section has Arabic sequential number without final dot,partial,src/shared/config/sto-styles.ts:288-310,tests/generator/toc_regression.ts:59-69,Numbering template %1 suffix space.,No rendered label audit/restarts.,local-only: sto-matrix.md
STO-043,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.4,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Section number/header use paragraph indent,partial,src/shared/config/sto-heading-styles.ts:28-55,src/shared/lib/sto-template-style-validator.ts:169-209,Style has firstLine 709.,No effective direct pPr proof.,local-only: sto-matrix.md
STO-044,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.5,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Heading is clear and concise,manual,src/shared/lib/source-preflight/heading-checker.ts:4-60,tests/source-preflight/run_source_preflight_tests.ts,Empty/final-dot headings detected.,Semantic judgment cannot be proven.,local-only: sto-matrix.md
STO-045,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.5,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Heading starts capital letter,missing,—,—,—,Need Russian casing rule.,local-only: sto-matrix.md
STO-046,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.5,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Heading has no final dot,implemented,src/shared/lib/source-preflight/heading-checker.ts:20-44,tests/source-preflight/run_source_preflight_tests.ts,Final dot reported.,No DOCX manual edits coverage.,local-only: sto-matrix.md
STO-047,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.5,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Heading has no underline,missing,—,—,—,Need source/XML run check.,local-only: sto-matrix.md
STO-048,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.5,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Heading has no word wrapping/hyphenation,manual,—,—,—,Rendered Word layout review.,local-only: sto-matrix.md
STO-049,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.6,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Multiple sentences in structural heading separated by dot; no final dot,missing,—,—,—,Need parser/source rule.,local-only: sto-matrix.md
STO-050,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.7,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Number subsection as 1.1,partial,src/shared/config/sto-styles.ts:291-310,tests/parser/run_parser_tests.ts:294-318,Numbering template.,Rendered numbering unverified.,local-only: sto-matrix.md
STO-051,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.7,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Number point as 1.1.1,partial,src/shared/config/sto-styles.ts:291-310,tests/parser/run_parser_tests.ts:294-318,Numbering template.,Rendered numbering unverified.,local-only: sto-matrix.md
STO-052,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.7,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Number subpoint as 1.1.1.1,partial,src/shared/config/sto-styles.ts:291-310,tests/parser/run_parser_tests.ts:294-318,Numbering template.,Rendered numbering unverified.,local-only: sto-matrix.md
STO-053,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.8,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Points/subpoints normally have no headings,manual,—,—,Generator permits headings.,Editorial structure review.,local-only: sto-matrix.md
STO-054,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.9,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,One child subsection/point still numbered,partial,src/shared/config/sto-styles.ts:291-310,tests/generator/toc_regression.ts:59-69,Every Markdown heading gets number.,No singleton tree analysis.,local-only: sto-matrix.md
STO-055,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.10,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,List marker without references: dash,partial,src/shared/lib/source-preflight/list-checker.ts:185-459,tests/source-preflight/run_source_preflight_tests.ts:447-475,STO list supported.,Parser accepts dotted/roman styles too.,local-only: sto-matrix.md
STO-056,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.10,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,List marker with references: Russian letter + ) without dot,partial,src/shared/lib/source-preflight/list-checker.ts:185-459,tests/parser/run_parser_tests.ts:343-389,Forbidden letters and 1). detected.,No intent/context distinction.,local-only: sto-matrix.md
STO-057,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.10,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Nested list marker: Arabic digit + ) without dot,partial,src/shared/lib/source-preflight/list-checker.ts:354-416,tests/parser/run_parser_tests.ts:343-389,Nested output and marker sequence checked.,Parser allows non-STO alternatives.,local-only: sto-matrix.md
STO-058,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.1.10,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,List item has paragraph indent,partial,src/shared/config/sto-styles.ts:354-369,src/shared/lib/sto-validator.ts:914-917,Base/nested indents configured.,No every-output effective pPr check.,local-only: sto-matrix.md
STO-059,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.2.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Arabic page numbers sequential through document,partial,src/app/builder.ts:128-150,src/shared/lib/sto-validator.ts:747-764,PAGE field start 1.,No multi-section rendered proof.,local-only: sto-matrix.md
STO-060,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.2.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Page number bottom centered,implemented,src/app/builder.ts:128-150,src/shared/lib/sto-validator.ts:747-764,Default footer PAGE is centered.,No physical PDF proof.,local-only: sto-matrix.md
STO-061,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.2.1,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Page number has no dot,partial,src/app/builder.ts:128-150,src/shared/lib/sto-validator.ts:747-764,Field exists.,No neighboring literal-dot check.,local-only: sto-matrix.md
STO-062,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.2.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Title page included in counting,partial,src/app/builder.ts:131-150,tests/validator/run_validator_tests.ts:240-305,titlePage + PAGE start 1.,Word page counting not measured.,local-only: sto-matrix.md
STO-063,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),4.2.2,При использовании соответствующей конструкции; состав документа задаётся профилем/заданием,Title page number not displayed,partial,src/app/builder.ts:131-150,src/shared/lib/sto-validator.ts:747-764,First footer has no PAGE.,No physical layout proof.,local-only: sto-matrix.md
STO-064,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.1.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Title is first page,manual,"src/app/builder.ts:114,152; src/widgets/title-page/lib/title-page.ts:371-449",tests/generator/front_matter_docx_test.ts:231-297,Title/inserted assignment can be generated/preserved.,"Faculty form, approval and visual sample conformance.",local-only: sto-matrix.md
STO-065,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.1.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Title uses form or independently designed template,manual,"src/app/builder.ts:114,152; src/widgets/title-page/lib/title-page.ts:371-449",tests/generator/front_matter_docx_test.ts:231-297,Title/inserted assignment can be generated/preserved.,"Faculty form, approval and visual sample conformance.",local-only: sto-matrix.md
STO-066,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.1.2,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,VKR title corresponds to Appendix A sample,manual,"src/app/builder.ts:114,152; src/widgets/title-page/lib/title-page.ts:371-449",tests/generator/front_matter_docx_test.ts:231-297,Title/inserted assignment can be generated/preserved.,"Faculty form, approval and visual sample conformance.",local-only: sto-matrix.md
STO-067,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.2.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Assignment is standard form,manual,"src/app/builder.ts:114,152; src/widgets/title-page/lib/title-page.ts:371-449",tests/generator/front_matter_docx_test.ts:231-297,Title/inserted assignment can be generated/preserved.,"Faculty form, approval and visual sample conformance.",local-only: sto-matrix.md
STO-068,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.2.2,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Assignment is agreed with supervisor,manual,"src/app/builder.ts:114,152; src/widgets/title-page/lib/title-page.ts:371-449",tests/generator/front_matter_docx_test.ts:231-297,Title/inserted assignment can be generated/preserved.,"Faculty form, approval and visual sample conformance.",local-only: sto-matrix.md
STO-069,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Referat states page count,partial,scripts/sto_post_build/word_automation.py:324-414,scripts/sto_post_build/orchestrator.py:40-96,Post-build resyncs pages from exported PDF.,accept:word is separate and does not invoke post-build.,local-only: sto-matrix.md
STO-070,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Referat states figures count,partial,scripts/sto_post_build/models.py; scripts/sto_post_build/orchestrator.py:40-45,scripts/sto_post_build/orchestrator.py:40-96,FIGURES replacement in post-build.,No portable preflight required placeholder.,local-only: sto-matrix.md
STO-071,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Referat states tables count,partial,scripts/sto_post_build/models.py; scripts/sto_post_build/orchestrator.py:40-45,scripts/sto_post_build/orchestrator.py:40-96,TABLES replacement in post-build.,No portable preflight required placeholder.,local-only: sto-matrix.md
STO-072,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Referat states sources count,partial,scripts/sto_post_build/models.py; scripts/sto_post_build/orchestrator.py:40-45,scripts/sto_post_build/orchestrator.py:40-96,SOURCES replacement in post-build.,Counts source structure only.,local-only: sto-matrix.md
STO-073,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Referat states appendices count,missing,—,—,—,No APPENDICES model/placeholder.,local-only: sto-matrix.md
STO-074,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.1,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Referat states graphic-document sheets/formats when applicable,manual,—,—,—,Profile-specific fields and validation.,local-only: sto-matrix.md
STO-075,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.2,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Keywords count 5–15,implemented,src/shared/config/sto-rules.json:70-73; src/shared/lib/source-preflight/referat-checker.ts:61-102,tests/parser/run_parser_tests.ts:174-195,Range is checked.,No semantic keyword proof.,local-only: sto-matrix.md
STO-076,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.2,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Keywords are nominative case,manual,—,—,—,Russian morphology review.,local-only: sto-matrix.md
STO-077,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.2,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Keywords uppercase and comma-separated,partial,src/shared/lib/source-preflight/referat-checker.ts:61-102,tests/parser/run_parser_tests.ts:174-195,Uppercase/comma/no-final-dot checked.,No visual no-wrap proof.,local-only: sto-matrix.md
STO-078,СТО,СТО 02068410-004-2018 (edition 2019; local copy not published),5.3.2,Только если выбран соответствующий раздел/форма; не требование добавить его в любую лабораторную,Keywords paragraph indent and no final dot,partial,src/shared/config/sto-styles.ts; src/shared/lib/source-preflight/referat-checker.ts:61-102,tests/parser/run_parser_tests.ts:174-195,709 indent style and no-final-dot source check.,No direct style/layout proof.,local-only: sto-matrix.md
